application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,credit_score,existing_debt,assets_owned,DTI,LTV,CWI,currency_code,session_user_name,session_user_email,session_flagged,created_at
APP_0001,64,102035.0,0,81788.0,72,172085.0,car,331,43906.0,116139.0,0.43030332728965126,0.47527675276752496,0.2989330880421107,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0002,55,122374.0,9,74987.0,36,54343.0,land,557,3103.0,12177.0,0.02535669341526774,1.3798833336400018,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0003,35,117380.0,15,58040.0,72,65541.0,deposit,550,19876.0,21359.0,0.16933037996251346,0.8855525548892924,0.09506801574437257,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0004,63,41819.0,27,89208.0,60,69918.0,car,442,22913.0,107477.0,0.5479088452617101,1.2758946194112921,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0005,42,128256.0,22,17185.0,48,42058.0,real_estate,370,39893.0,141794.0,0.3110419785429117,0.4086024062009509,0.40744811611827564,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0006,43,92008.0,23,92500.0,72,37844.0,deposit,324,6451.0,241278.0,0.07011346839405193,2.4442447944191303,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0007,40,65385.0,16,85771.0,48,74626.0,real_estate,304,21702.0,48947.0,0.3319109887588846,1.1493447323988804,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0008,27,89277.0,3,52845.0,60,175868.0,land,564,7616.0,253360.0,0.08530752601453806,0.3004810426001302,0.6398447257438179,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0009,62,145872.0,11,74672.0,24,8294.0,real_estate,349,39381.0,78011.0,0.26996956235603636,9.003134796237159,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0010,21,132196.0,29,54426.0,72,62383.0,real_estate,827,31614.0,50115.0,0.23914490604859273,0.8724492249490908,0.0970476569349343,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0011,28,129212.0,1,30532.0,48,19640.0,deposit,434,24836.0,212968.0,0.19221124972912584,1.5545824847249716,0.0,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0012,31,82849.0,26,80987.0,60,115805.0,real_estate,658,19646.0,234557.0,0.23713020072662025,0.69933940676136,0.2293648864133766,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0013,33,123017.0,20,28362.0,36,56115.0,land,670,7658.0,185424.0,0.06225155872765502,0.5054263565891383,0.4637856632029202,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0014,26,73136.0,8,34872.0,72,160059.0,land,572,46092.0,43554.0,0.6302231459199213,0.21786966056266616,0.2892136963977214,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0015,21,110770.0,23,54332.0,12,120323.0,real_estate,785,32383.0,43449.0,0.29234449760765285,0.451551241242319,0.38811278191512594,USD,zcccc,zczcc,False,2025-10-24 17:16:40
APP_0016,50,104945.0,25,84551.0,12,158494.0,real_estate,360,15957.0,123118.0,0.1520510743722888,0.5334649892109448,0.39559786116629203,USD,zcccc,zczcc,False,2025-10-24 17:16:40
