application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,monthly_income,monthly_bills,DTI,LTV,CCR,ITI,CWI,monthly_ndi,ndi_ratio,session_user_email,created_at
APP_0001,24,70459,18,5416,72,109709,house,0,784,38901,194554,6175,3302,0.5521083183127697,0.04936696168956011,20.25646233382196,0.0010676027508363217,1.2773418905889125,2873,0.46526315789466144,dzoan nguyen,2025-10-22 14:47:13
APP_0002,55,128286,23,9023,36,57986,car,0,737,33592,87148,7908,5730,0.26185242349125964,0.1556065257131005,6.426465698769098,0.001953750907206747,1.8698609899940108,2178,0.2754172989377497,dzoan nguyen,2025-10-22 14:47:13
APP_0003,49,26239,22,25817,72,51971,car,0,421,46496,184395,3128,3251,1.7720187507145175,0.4967578072386428,2.0130534144167793,0.013665514861063708,0.0,0,0.0,dzoan nguyen,2025-10-22 14:47:13
APP_0004,40,137020,4,88993,60,69918,car,0,760,48029,89498,8047,467,0.3505254707341969,1.2728195886609845,0.7856572988886678,0.010824818761070908,0.0,7580,0.9419659500433774,dzoan nguyen,2025-10-22 14:47:13
APP_0005,40,92853,24,48598,48,122713,house,0,337,35245,44382,11209,5289,0.37957847350112134,0.3960297604980695,2.5250627597843014,0.010903883916644907,0.9461817654319866,5920,0.5281470247122376,dzoan nguyen,2025-10-22 14:47:13
APP_0006,58,42531,16,72409,72,54556,house,0,456,18545,83871,2918,4672,0.4360348921962701,1.3272417332648778,0.7534422516537895,0.023645824352626653,0.0,0,0.0,dzoan nguyen,2025-10-22 14:47:13
APP_0007,24,62772,9,44098,48,183521,house,1,688,29953,89935,4938,4405,0.47717135028355834,0.24028857732902373,4.161662660438021,0.014635639031959776,1.1915966918676701,533,0.1079384366139919,dzoan nguyen,2025-10-22 14:47:13
APP_0008,51,94254,15,21447,60,100133,car,0,467,21254,49161,8782,5833,0.22549706113268161,0.21418513377208098,4.668858115353911,0.003792411993061713,1.8258477698974558,2949,0.33580050102478526,dzoan nguyen,2025-10-22 14:47:13
APP_0009,29,64461,29,40259,24,173748,house,0,701,31454,16846,7982,1498,0.487953956655955,0.23170914197573364,4.3157554832458755,0.026022840682946486,1.1802008819661811,6484,0.8123277374090688,dzoan nguyen,2025-10-22 14:47:13
APP_0010,25,38571,25,13713,72,139185,deposit,1,780,40606,283701,8584,5473,1.0527598454797373,0.09852354779609802,10.14985779916793,0.0049378635070566786,0.0,3111,0.36241845293565206,dzoan nguyen,2025-10-22 14:47:13
APP_0011,44,108248,25,78174,48,72003,house,2,336,18466,158892,7375,1702,0.17058975685462852,1.0857047623015557,0.9210607107222232,0.015045312615161992,0.0,5673,0.7692203389829465,dzoan nguyen,2025-10-22 14:47:13
APP_0012,63,109030,13,22435,60,51824,land,0,313,25288,126593,8667,5835,0.2319361643584313,0.43290753318924763,2.309962112770122,0.0034294842397544836,1.0061345248794022,2832,0.3267566632052236,dzoan nguyen,2025-10-22 14:47:13
APP_0013,53,39859,23,40755,36,150837,land,0,817,2281,279686,7898,1472,0.057226724202813495,0.2701923268163629,3.7010673536988423,0.028402201091393624,2.0641295122477805,6426,0.8136237022029863,dzoan nguyen,2025-10-22 14:47:13
APP_0014,54,60154,11,98102,72,71501,car,0,586,36828,75159,2277,3481,0.6122286132260429,1.3720367547306838,0.7288434486554736,0.022650659602999487,0.0,0,0.0,dzoan nguyen,2025-10-22 14:47:13
APP_0015,52,55484,20,61236,12,55398,deposit,0,578,24492,126832,9388,4820,0.44142455482660875,1.10538286580741,0.9046639231824269,0.09197246052149555,0.0,4568,0.4865786109927049,dzoan nguyen,2025-10-22 14:47:13
APP_0016,55,107427,19,48563,12,186633,house,2,555,22985,255534,6191,837,0.21395924674429878,0.26020585855663114,3.843111010439968,0.03767131788404578,1.7445250325829011,5354,0.8648037473750824,dzoan nguyen,2025-10-22 14:47:13
