application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months
APP_0066,35,97632,28,71005,60,82465,house,0,522,25446,37607,0.26063176007866007,0.8610319529497258,1.1613970847123278,0.012121196602004784,0.11933187845220863,False,:31:12,28,0.26063176007866007,27,0,0,71005,60
APP_0070,41,98864,27,17549,12,10059,house,0,724,20965,293232,0.21205899012785026,1.7446068197632225,0.5731950538491895,0.014792206127051137,0.0,False,:31:12,27,0.21205899012785026,25,0,1,17549,12
APP_0088,34,96466,15,61399,24,198141,house,0,527,33145,248156,0.3435925611096102,0.309875290828247,3.227104675971869,0.026520138355068567,1.3590089785872166,False,:31:12,15,0.3435925611096102,27,0,1,61399,24
APP_0095,60,93125,8,13560,60,71089,deposit,0,373,8120,217190,0.08719463087248228,0.19074681033633625,5.2425516224184925,0.002426845637543419,2.216071969525685,False,:31:12,8,0.08719463087248228,25,0,0,13560,60
APP_0111,33,108248,29,69531,60,129361,land,0,340,14055,91365,0.12984073608750157,0.5374958449609964,1.8604794983532256,0.010705509570437099,0.748754206898858,False,:31:12,29,0.12984073608750157,28,1,1,69531,60
APP_0125,58,146894,9,79665,24,169391,deposit,1,498,37276,226552,0.2537612155704096,0.4703024363750113,2.126291345007191,0.02259707680273987,0.8404822842117483,False,:31:12,9,0.2537612155704096,29,0,0,79665,24
APP_0129,46,42657,27,51378,36,114785,land,1,400,3206,17640,0.0751576529057347,0.44760203859388903,2.2341274475455988,0.03345679880504934,1.1413733252015523,False,:31:12,27,0.0751576529057347,25,0,3,51378,36
APP_0138,22,64642,3,36695,12,78388,car,2,604,1161,247567,0.01796045914420937,0.4681201204265899,2.136203842485294,0.047305415463812894,1.1157970997928826,False,:31:12,3,0.01796045914420937,25,1,0,36695,12
APP_0151,58,91644,24,96323,12,79014,house,0,803,16406,166249,0.17901881192440117,1.21906244463005,0.8203025238001223,0.08758802175808203,0.0,False,:31:12,24,0.17901881192440117,25,1,2,96323,12
APP_0171,25,66947,28,66932,24,128764,deposit,1,755,1045,22742,0.015609362630140027,0.5198036718337383,1.9238032630131785,0.041657330921730476,0.9093832828819216,False,:31:12,28,0.015609362630140027,25,0,3,66932,24
APP_0172,24,107707,12,98729,36,129119,car,0,806,37249,248701,0.34583638946400563,0.7646357236347806,1.3078122942600319,0.025462339700725277,0.2013596017805221,False,:31:12,12,0.34583638946400563,26,1,1,98729,36
APP_0186,40,40344,27,60884,48,67046,house,0,736,14466,263774,0.3585663295657258,0.9080929511081808,1.1012088561855151,0.031440032387472984,0.06491876810354966,False,:31:12,27,0.3585663295657258,26,0,1,60884,48
APP_0188,37,128889,2,70179,24,122907,car,0,416,12890,292922,0.10000853447540053,0.5709927017989165,1.7513358697045875,0.022687157165298347,0.6761958704766515,False,:31:12,2,0.10000853447540053,29,1,0,70179,24
APP_0196,24,134320,24,33059,48,129683,land,1,301,40802,200261,0.30376712328766897,0.25492161655729545,3.9227744335883146,0.005127525064415672,1.5562441988414624,False,:31:12,24,0.30376712328766897,28,0,0,33059,48
