application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months
APP_0009,53,27245,20,78908,48,22242,land,0,656,5767,117889,0.21167186639749636,3.547702544735026,0.28187256045014086,0.06033828836969566,0.0,False,:56:54,20,0.21167186639749636,29,0,1,78908,48
APP_0011,24,146163,7,9105,36,105366,land,0,527,22530,189562,0.15414297736089055,0.0864130744262847,11.572322899504494,0.0017303740800314684,2.3182917503634015,False,:56:54,7,0.15414297736089055,25,0,2,9105,36
APP_0062,36,99505,25,84608,48,79558,car,0,798,36392,207062,0.3657303653082723,1.063475703260501,0.9403129727685213,0.017714352712224782,0.0,False,:56:54,25,0.3657303653082723,25,1,3,84608,48
APP_0066,22,125545,18,24169,24,28982,land,0,655,15916,38755,0.12677525986697896,0.833931405700061,1.1991393934378254,0.008021360202514625,0.17389344508505872,False,:56:54,18,0.12677525986697896,27,0,0,24169,24
APP_0070,42,123095,21,52930,12,144945,car,2,524,21238,132592,0.17253340915552887,0.36517299665390074,2.7384281126014978,0.03583275789403085,1.4384911837625707,False,:56:54,21,0.17253340915552887,25,0,1,52930,12
APP_0072,55,27229,2,75792,12,156554,car,1,542,2570,61080,0.0943846634103311,0.48412688273694393,2.0655742030820923,0.23195857356030095,0.9650003405854749,False,:56:54,2,0.0943846634103311,27,0,0,75792,12
APP_0088,35,100388,28,98119,36,8864,car,0,408,37441,187040,0.37296290393273723,11.06938176895182,0.09033928189239504,0.027149936025242474,0.0,False,:56:54,28,0.37296290393273723,27,0,1,98119,36
APP_0095,37,39216,15,5416,36,153852,land,0,802,13370,212831,0.340932272541811,0.03520266229883242,28.40694239290465,0.0038363026428055286,1.9076003664492585,False,:56:54,15,0.340932272541811,25,0,0,5416,36
APP_0115,35,69732,4,87905,12,29994,deposit,0,723,4941,138355,0.07085699535363862,2.930752817230015,0.3412092599965833,0.10505100479057118,0.0,False,:56:54,4,0.07085699535363862,24,1,3,87905,12
APP_0125,45,99819,21,56066,36,94370,house,1,694,3258,275570,0.032639076728878946,0.5941082971283184,1.683194806121327,0.015602128741478202,0.6608959584235891,False,:56:54,21,0.032639076728878946,29,0,0,56066,36
APP_0129,41,97176,6,47054,48,110447,deposit,0,542,27657,242389,0.28460731044702103,0.4260323956286687,2.3472393420325086,0.010087796026243455,0.9638051763682438,False,:56:54,6,0.28460731044702103,25,0,3,47054,48
APP_0142,62,98892,9,17738,60,142569,deposit,0,814,37616,179578,0.380374550014153,0.12441694898610411,8.037490134174764,0.0029894565114306835,1.6276006259533984,False,:56:54,9,0.380374550014153,25,0,0,17738,60
APP_0149,63,148052,16,79630,24,50142,car,0,687,15458,294744,0.1044092616107847,1.5880898248972601,0.6296873037799745,0.022410481901820968,0.0,False,:56:54,16,0.1044092616107847,24,0,0,79630,24
APP_0151,27,117001,22,43074,12,74060,deposit,0,543,20579,241572,0.17588738557789954,0.5816095058060953,1.719366671309799,0.03067922496133233,0.5928391482212726,False,:56:54,22,0.17588738557789954,25,1,2,43074,12
APP_0165,35,143605,19,33373,48,177098,house,0,311,2196,242597,0.015291946659238779,0.18844368654643087,5.306625116111668,0.004841550317320732,2.397438112791806,False,:56:54,19,0.015291946659238779,28,1,1,33373,48
APP_0171,53,140727,12,14048,24,192768,land,1,357,42685,88569,0.30331777128766835,0.07287516600265567,13.7220956719808,0.0041593534524927015,1.9377341869314613,False,:56:54,12,0.30331777128766835,25,0,3,14048,24
APP_0172,53,90469,3,59383,24,152376,deposit,0,564,6860,140803,0.07582707888890033,0.3897136031921012,2.5659868986073024,0.0273496077834788,1.4472426865076438,False,:56:54,3,0.07582707888890033,26,1,1,59383,24
APP_0185,53,125087,2,37556,36,66753,land,0,499,22724,30450,0.18166556076970283,0.5626114182134052,1.777425710938285,0.008339973156229148,0.6361942332039304,False,:56:54,2,0.18166556076970283,24,1,1,37556,36
APP_0186,28,137831,13,57168,24,109672,car,0,525,9615,119791,0.06975934296348377,0.5212634036034673,1.9184158970052843,0.017282033794289622,0.8543478074630019,False,:56:54,13,0.06975934296348377,26,0,1,57168,24
APP_0188,47,147446,24,45984,60,150525,house,0,420,11039,37445,0.07486808729975669,0.3054907822620807,3.2734211899790524,0.005197835139557679,1.927537922981493,False,:56:54,24,0.07486808729975669,29,1,0,45984,60
APP_0196,55,122374,9,74987,36,54343,land,2,304,28321,72216,0.231429878895842,1.3798833336400018,0.724698947817612,0.017021362562017625,0.0,False,:56:54,9,0.231429878895842,28,0,0,74987,36
