application_id,income,loan_amount,loan_duration_months,existing_debt,credit_score,collateral_value,DTI,__label
app_5631654d,3010.88,9793.28,51,477.59,764,11751.94,0.924,1
app_9524f77b,3077.1,14181.22,42,773.36,577,9926.85,1.2,0
app_0d7dcebe,2597.17,8844.42,50,631.56,670,6191.09,1.06,0
app_4c2249e5,4136.32,21192.2,28,275.28,723,25430.64,1.2,1
app_4c7c5f9c,1500.0,22967.53,54,1350.72,652,16077.27,1.2,0
app_232a0a79,2354.02,25691.41,48,1057.05,600,17983.99,1.2,0
app_b32037de,3638.23,4618.61,50,0.0,674,5542.33,0.305,1
app_86fc6d66,2664.38,23159.29,57,1297.33,579,16211.5,1.2,0
app_53da7348,4728.13,4430.4,53,337.41,652,5316.48,0.284,1
app_ac49ec92,1860.94,17631.83,31,1815.96,549,12342.28,1.2,0
app_5f9f2cdb,2532.61,18168.3,36,922.14,566,12717.81,1.2,0
app_ebd7793a,3416.59,6827.04,18,486.52,768,8192.44,1.2,1
app_592cdbe2,1956.92,14648.31,32,715.74,499,10253.82,1.2,0
app_94222dc2,5365.11,14634.0,27,518.87,669,17560.8,1.2,1
app_42dbd218,2288.36,20183.78,47,1507.81,719,14128.65,1.2,0
app_454a848f,2251.14,15001.51,37,951.34,548,10501.06,1.2,0
app_5bb2457f,3379.52,16879.64,55,309.4,654,20255.57,1.181,1
app_18243260,2216.63,12029.21,32,1068.98,594,8420.45,1.2,0
app_5ab8d7df,5234.58,12905.33,41,340.5,792,15486.39,0.787,1
app_541b479c,1500.0,16178.45,21,1230.51,659,11324.92,1.2,0
app_323f1921,1984.23,27948.68,32,346.65,580,19564.08,1.2,0
app_bf541f23,4360.02,10593.65,63,742.15,821,12712.38,0.633,1
app_700bee54,3885.89,7885.29,31,0.0,554,5519.7,0.786,0
app_b696ba77,5115.1,6940.73,28,530.45,755,8328.88,0.685,1
app_f0eaa964,2143.69,16465.13,45,1001.62,580,11525.59,1.2,0
app_745f7134,2814.5,18456.73,39,1700.49,578,12919.71,1.2,0
app_bcd6d002,3460.24,20481.78,27,1087.96,686,24578.14,1.2,1
app_dec8040d,2573.84,22401.77,50,1298.8,585,15681.24,1.2,0
app_63c1617e,3633.57,14084.84,37,143.09,728,16901.8,1.2,1
app_d64ea672,3494.12,18999.04,54,1064.12,589,13299.33,1.2,0
app_6e98d2e3,2600.21,14639.34,23,1090.61,540,10247.54,1.2,0
app_b6f9e449,3641.71,11464.8,40,584.46,703,13757.76,1.105,1
app_0eb5daf5,1500.0,16760.44,26,855.46,669,11732.31,1.2,0
app_0f89402d,4804.82,13321.98,42,0.0,713,15986.38,0.792,1
app_877d4849,3124.51,13763.24,40,747.67,670,9634.27,1.2,0
app_fcf0e04c,3608.42,14791.3,53,823.97,744,10353.91,1.156,0
app_9876a540,3508.45,12382.54,38,99.68,579,14859.05,1.143,1
app_80412028,1700.4,24477.63,32,769.32,706,17134.34,1.2,0
app_78764bfa,4493.54,16213.85,46,37.03,708,19456.62,0.95,1
app_d466ea52,2650.22,17046.8,22,1085.51,483,11932.76,1.2,0
app_1a6f666a,1562.93,13143.97,31,1236.44,715,9200.78,1.2,0
app_c100458c,5722.3,16837.56,41,0.0,779,20205.07,0.861,1
app_15e2ed17,5128.95,20717.26,38,1179.48,651,14502.08,1.2,0
app_7e15a493,4134.92,9757.1,40,0.0,568,11708.53,0.708,1
app_a17eed6a,3860.94,15251.63,44,1521.84,685,10676.14,1.2,0
app_58f88d39,1946.61,19948.52,22,858.17,673,13963.97,1.2,0
app_7b3bfb9a,4032.03,1000.0,8,79.37,793,3000.0,0.268,1
app_23709483,2699.09,18847.64,20,958.57,440,13193.35,1.2,0
app_3a97cdf5,4341.83,19075.44,26,833.76,649,22890.53,1.2,1
app_4b18709f,2647.37,17184.38,37,1510.78,661,12029.07,1.2,0
app_2b59ecf3,1822.28,1410.23,46,1205.56,611,3000.0,0.863,0
app_15e5bfba,3441.81,21590.45,14,86.25,597,25908.54,1.2,1
app_efe767f6,2871.31,15200.74,61,907.12,583,10640.52,1.2,0
app_f812e622,4572.7,7606.82,22,614.0,665,9128.18,1.042,1
app_199e059f,3475.97,20008.68,37,927.38,593,14006.08,1.2,0
app_1021a348,2907.53,15616.64,12,931.12,567,10931.65,1.2,0
app_bc40b42c,2623.08,16684.11,31,0.0,694,20020.93,1.2,1
app_bf4a0af4,1825.23,7790.72,39,479.78,650,5453.5,1.2,0
app_2133ffdc,3102.51,17862.28,41,443.44,647,21434.73,1.2,1
app_14fd7daa,3404.81,21021.33,31,1132.25,528,14714.93,1.2,0
app_0c51098e,1500.0,17426.6,36,1071.16,604,12198.62,1.2,0
app_a4df533e,5240.71,4256.98,42,490.26,794,5108.37,0.326,1
app_ac61e4cf,2624.92,19897.82,57,1218.52,642,13928.48,1.2,0
app_5b366264,3609.87,12833.7,16,62.51,745,15400.44,1.2,1
app_bee3aafd,1500.0,18557.35,36,1055.64,481,12990.15,1.2,0
app_57e253aa,1500.0,24657.37,37,1064.06,713,17260.16,1.2,0
app_1fe5c640,4173.84,1000.0,32,727.35,670,3000.0,0.264,1
app_834cb47a,2197.13,14390.66,53,1397.32,473,10073.46,1.2,0
app_5a79e1cf,5904.29,7355.51,60,0.0,777,8826.61,0.249,1
app_d6e14fa4,1933.57,17065.67,46,604.14,622,11945.97,1.2,0
app_7b89d860,2807.46,25147.6,52,1651.61,621,17603.32,1.2,0
app_ecb7bb83,4408.72,8588.44,26,0.0,684,10306.12,0.899,1
app_ab76a907,2656.4,18121.3,42,357.52,721,12684.91,1.2,0
app_a2b61d5f,4307.11,18559.22,40,49.39,677,22271.07,1.2,1
app_1bf9c098,1500.0,19283.11,35,1385.21,477,13498.18,1.2,0
app_a3b208bd,2421.41,16167.55,20,312.74,517,11317.29,1.2,0
app_f185eeca,4983.89,17911.77,18,333.31,733,21494.12,1.2,1
app_683791c5,2825.66,8889.14,28,325.71,671,6222.4,1.2,0
app_f8460299,6595.31,11700.77,10,727.43,808,14040.93,1.2,1
app_6dbeb00f,3978.67,18987.84,42,937.94,650,13291.49,1.2,0
app_519270b9,3441.41,13478.53,28,763.33,583,9434.97,1.2,0
app_7a743f48,4191.73,18711.95,20,767.4,686,22454.35,1.2,1
app_8f626596,1500.0,15607.74,32,1119.28,641,10925.42,1.2,0
app_1a745d6f,3993.63,7113.34,47,129.15,616,8536.0,0.487,1
app_8e0e81ff,1858.51,14768.37,34,720.82,574,10337.86,1.2,0
app_dc2509d7,3241.62,22779.0,42,776.22,553,15945.3,1.2,0
app_4b15d8fd,3768.23,11119.83,46,287.91,615,13343.8,0.846,1
app_7825ffae,1662.73,28585.11,24,394.48,579,20009.58,1.2,0
app_5b0e50cf,5761.07,12578.64,39,0.0,595,15094.37,0.672,1
app_ae81e607,2497.63,15254.33,40,459.01,673,10678.03,1.2,0
app_f8b16f3b,3857.47,8718.57,38,788.31,700,6103.0,0.918,0
app_d25d6363,4225.83,17719.51,35,525.68,849,21263.41,1.2,1
app_bcf01be6,4576.36,7821.4,40,996.52,524,5474.98,0.73,0
app_7cb28fd8,3231.99,13109.63,47,609.25,670,15731.55,1.2,1
app_299f0a40,1500.0,5440.25,54,677.3,539,3808.18,1.2,0
app_bacdb93a,2837.63,17484.63,35,1162.87,565,12239.24,1.2,0
app_7ec2388b,2942.31,11144.76,36,0.0,622,13373.72,1.2,1
app_42d55fdc,1500.0,22894.93,52,1409.39,536,16026.45,1.2,0
app_36582a8b,3306.3,4336.71,58,206.31,697,5204.05,0.334,1
app_1f2b206a,2024.07,19004.92,23,651.85,536,13303.44,1.2,0
app_7ed9b105,1500.0,19526.8,44,1287.99,709,13668.76,1.2,0
app_732183b4,4949.74,11566.45,42,187.55,755,13879.74,0.706,1
app_562d68cc,2212.7,4049.62,35,924.48,517,3000.0,1.045,0
app_15e5032f,4474.17,19121.96,22,702.38,760,22946.35,1.2,1
app_350acab8,1549.62,15341.44,22,668.51,596,10739.01,1.2,0
app_fa80d654,3666.22,14166.5,17,0.0,553,9916.55,1.2,0
app_2c2bde75,2686.55,13113.46,38,0.0,725,15736.15,1.2,1
app_a84f420e,2288.41,16480.86,29,1284.16,641,11536.6,1.2,0
app_f1fae1b4,4187.22,18905.55,36,455.47,737,22686.67,1.2,1
app_1f93be29,2229.59,10787.92,57,1277.21,509,7551.54,1.2,0
app_b5959296,1516.79,11606.11,17,1044.83,705,8124.28,1.2,0
app_ae948b3e,4387.14,21355.04,30,505.18,635,25626.05,1.2,1
app_5f08696f,2521.49,24444.48,44,1308.13,571,17111.14,1.2,0
app_3a9bb84c,4912.65,20701.26,42,0.0,719,24841.51,1.2,1
app_80ee6418,2744.27,13967.56,23,575.06,680,9777.29,1.2,0
app_baf151d3,2633.0,28025.48,14,1069.0,712,19617.84,1.2,0
app_71e614dc,5831.39,8765.25,55,837.58,782,10518.3,0.472,1
app_dde84a05,2714.09,24060.99,46,659.04,410,16842.69,1.2,0
app_ac3aa9c8,5142.05,18399.6,45,242.3,672,22079.52,1.001,1
app_ecfe8c08,1500.0,27801.95,35,1242.54,576,19461.36,1.2,0
app_025e0fd0,1500.0,22850.9,50,1651.17,593,15995.63,1.2,0
app_e2f98172,3541.52,13028.19,23,56.81,744,15633.83,1.2,1
app_e1913b62,2281.39,14914.6,40,765.98,769,10440.22,1.2,0
app_e954ee90,3719.21,21379.04,44,793.5,725,25654.85,1.2,1
app_596de5be,2362.5,18064.08,28,1052.12,668,12644.86,1.2,0
app_8bd1d86c,1500.0,10434.79,21,1161.39,643,7304.35,1.2,0
app_6a9a0b7f,3587.26,21030.74,31,615.69,755,25236.89,1.2,1
app_d7e4c82f,2335.97,24229.04,31,890.89,607,16960.33,1.2,0
app_c9284a04,4751.8,20598.05,26,0.0,746,24717.66,1.2,1
app_3fb8d1dc,1500.0,18272.8,42,196.37,540,12790.96,1.2,0
app_703b650d,2186.96,17269.89,35,1058.26,648,12088.92,1.2,0
app_8578212a,2414.91,19465.92,32,231.69,777,23359.11,1.2,1
app_f7410887,1958.76,12723.64,13,1403.08,474,8906.55,1.2,0
app_c96af4b1,2681.88,1000.0,31,0.0,782,3000.0,0.144,1
app_e3a43265,1811.36,10991.11,40,468.88,591,7693.78,1.2,0
app_fd947301,3409.77,13174.06,31,603.71,578,9221.85,1.2,0
app_21fb63c1,7058.24,1000.0,46,423.37,651,3000.0,0.097,1
app_6c8b6c4f,3517.39,25505.29,25,865.02,557,17853.7,1.2,0
app_b934cc43,4451.94,13078.56,35,572.74,735,15694.27,1.136,1
app_c24a3980,3987.85,12835.39,35,1879.99,555,8984.78,1.2,0
app_545d9faa,3733.46,12139.8,44,831.35,628,8497.86,1.109,0
app_f3495122,3710.89,19796.3,35,334.05,733,23755.57,1.2,1
app_93d4ddae,1793.72,3977.09,18,613.57,720,3000.0,1.2,0
app_e9d64e37,6282.63,3943.44,37,128.93,717,4732.13,0.224,1
app_1fdf6ebe,1500.0,20176.24,26,424.23,554,14123.37,1.2,0
app_fea36485,1500.0,22064.97,25,1499.55,658,15445.48,1.2,0
app_0e982871,5239.86,9593.69,52,932.33,673,11512.43,0.6,1
app_5ef04997,2578.39,26820.13,38,619.97,677,18774.09,1.2,0
app_36af3e05,5232.62,6705.94,41,415.33,780,8047.13,0.454,1
app_7760a163,1771.22,26082.66,47,755.87,562,18257.86,1.2,0
app_f148254a,1500.0,26697.27,24,829.85,735,18688.09,1.2,0
app_ce5f0262,4825.85,14005.91,39,327.64,603,16807.09,0.961,1
app_a3d70c4a,3103.82,11281.74,62,253.96,581,7897.22,0.785,0
app_6d8f441e,4054.98,8473.89,36,688.9,804,10168.67,0.866,1
app_afc9b9f2,2680.8,18150.23,40,933.69,549,12705.16,1.2,0
