application_id,income,loan_amount,loan_duration_months,existing_debt,credit_score,collateral_value,DTI,__label
app_e827ed1b,4304.72,5760.1,45,776.23,563,6912.11,0.537,1
app_8711dd0a,1500.0,18767.04,32,893.28,540,13136.93,1.2,0
app_0ad84127,3379.4,22666.75,36,1350.9,632,15866.73,1.2,0
app_7520f266,3140.71,14212.5,24,751.38,696,17055.01,1.2,1
app_f81bc500,2315.14,13914.42,50,838.19,570,9740.1,1.2,0
app_46c199c5,3647.87,15193.86,40,565.09,730,18232.63,1.2,1
app_301a1aa5,4641.65,15561.51,29,574.49,643,10893.06,1.2,0
app_793b8ffc,5128.97,11316.32,25,70.21,745,13579.58,1.073,1
app_53bdd5be,3243.25,21258.93,28,992.86,608,14881.25,1.2,0
app_da5a01dc,4218.69,17228.57,38,671.57,704,20674.29,1.2,1
app_7288989f,2789.12,21787.73,18,772.13,567,15251.41,1.2,0
app_82d3f25a,3361.12,10349.15,53,53.67,767,12418.98,0.713,1
app_b20e4336,1500.0,15990.69,37,1134.49,649,11193.48,1.2,0
app_379c19ad,4793.35,9907.65,30,743.19,686,11889.18,0.982,1
app_498e25d5,1500.0,11200.28,24,1098.86,609,7840.19,1.2,0
app_fc8d9781,4690.49,9436.48,37,650.24,678,11323.78,0.791,1
app_11afdf9d,2956.78,14028.44,31,747.3,516,9819.91,1.2,0
app_41176eba,4486.97,9183.59,36,592.3,731,11020.3,0.814,1
app_6d436a08,3165.39,17409.09,30,868.11,481,12186.36,1.2,0
app_7123777d,2552.89,4063.8,24,559.91,636,4876.56,1.015,1
app_5d13b0ba,2121.84,25795.37,31,1195.01,534,18056.76,1.2,0
app_53b94e55,3794.56,6299.87,31,736.12,579,7559.84,0.837,1
app_f2229848,2934.42,19426.41,28,321.58,605,13598.49,1.2,0
app_8efe4cf8,3470.51,13396.06,36,1040.71,683,16075.27,1.2,1
app_9c94d6e9,1500.0,19075.65,38,1443.68,658,13352.96,1.2,0
app_08298af5,4356.87,20779.82,21,144.1,635,24935.78,1.2,1
app_f6157454,2110.19,9739.88,43,811.11,497,6817.92,1.2,0
app_5db30ed1,2984.42,13881.08,46,1198.69,850,16657.3,1.2,1
app_4ab0d319,2914.41,12062.77,10,1007.08,543,8443.94,1.2,0
app_877e3817,3584.64,8327.42,34,826.39,710,9992.9,1.05,1
app_029b457a,2341.37,11786.08,15,705.48,596,8250.25,1.2,0
app_0a6e3ae1,5767.93,12781.65,47,200.28,617,15337.98,0.601,1
app_58b37a63,1534.88,13648.64,61,571.45,658,9554.05,1.2,0
app_57ca92ee,3097.07,17589.44,40,337.34,697,21107.33,1.2,1
app_1b401af9,1845.21,20676.43,30,409.76,510,14473.5,1.2,0
app_211ebf9e,4172.59,21474.55,37,352.54,720,25769.46,1.2,1
app_505e5e4f,3806.0,19316.3,31,1342.52,630,13521.41,1.2,0
app_2b83c348,5535.76,13099.41,21,0.0,815,15719.29,1.2,1
app_0b0688f7,4223.67,16922.88,31,1484.58,522,11846.02,1.2,0
app_cb04edac,3105.27,15859.96,31,397.95,688,19031.95,1.2,1
app_c513d8e0,2837.57,26444.89,37,1157.58,456,18511.42,1.2,0
app_1453b3c2,3951.28,6940.62,21,48.74,676,8328.74,1.016,1
app_d68e910d,3415.9,10041.64,36,706.33,577,7029.15,1.187,0
app_46db9f63,5002.76,15228.69,52,338.2,651,18274.43,0.77,1
app_a2896193,2276.14,19454.98,38,466.24,606,13618.49,1.2,0
app_8dfed813,4228.23,27104.84,58,58.7,679,32525.81,1.2,1
app_af2ff8f9,1500.0,14455.76,39,1382.34,548,10119.03,1.2,0
app_c225fd61,3345.85,1000.0,34,0.0,662,3000.0,0.105,1
app_1a0f6d9e,1623.14,17434.42,14,313.18,749,12204.1,1.2,0
app_389ef921,2712.58,5419.29,58,1562.03,617,6503.14,0.989,1
app_07469630,2131.75,20049.33,56,505.26,582,14034.53,1.2,0
app_be852873,4777.34,14608.6,31,346.47,603,17530.32,1.2,1
app_6115d785,2261.83,16401.68,38,677.87,633,11481.17,1.2,0
app_9f15c76a,5012.72,12932.58,40,421.26,700,15519.09,0.858,1
app_c91eb736,1778.44,19898.97,34,1737.27,710,13929.28,1.2,0
