application_id,score,decision,top_feature,shap,explanation,proposed_loan_option,proposed_consolidation_loan
APP_0002,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$57,463, Ratio→ 1.07 (≥ 0.53)"
APP_0005,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$44,190, Ratio→ 1.51 (≥ 0.53)"
APP_0007,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$100,272, Ratio→ 0.85 (≥ 0.53)"
APP_0008,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$37,756, Ratio→ 1.57 (≥ 0.53)"
APP_0011,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$31,635, Ratio→ 6.60 (≥ 0.53)"
APP_0012,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$65,039, Ratio→ 0.88 (≥ 0.53)"
APP_0014,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$109,543, Ratio→ 1.15 (≥ 0.53)"
APP_0016,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$75,938, Ratio→ 2.10 (≥ 0.53)"
APP_0020,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$44,574, Ratio→ 1.60 (≥ 0.53)"
APP_0021,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$113,555, Ratio→ 1.67 (≥ 0.53)"
APP_0022,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$136,863, Ratio→ 1.31 (≥ 0.53)"
APP_0024,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$56,795, Ratio→ 2.88 (≥ 0.53)"
APP_0026,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$31,360, Ratio→ 5.35 (≥ 0.53)"
APP_0029,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$115,591, Ratio→ 0.98 (≥ 0.53)"
APP_0037,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,
APP_0038,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$14,027, Ratio→ 8.77 (≥ 0.53)"
APP_0040,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$47,141, Ratio→ 3.27 (≥ 0.53)"
APP_0041,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$48,631, Ratio→ 1.89 (≥ 0.53)"
APP_0044,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$83,736, Ratio→ 1.04 (≥ 0.53)"
APP_0045,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$123,424, Ratio→ 1.68 (≥ 0.53)"
APP_0046,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$108,749, Ratio→ 1.85 (≥ 0.53)"
APP_0047,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$108,684, Ratio→ 1.15 (≥ 0.53)"
APP_0049,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$47,093, Ratio→ 3.02 (≥ 0.53)"
APP_0051,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$68,086, Ratio→ 0.91 (≥ 0.53)"
APP_0053,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$68,629, Ratio→ 2.71 (≥ 0.53)"
APP_0054,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,
APP_0062,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$121,000, Ratio→ 1.17 (≥ 0.53)"
APP_0063,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$53,333, Ratio→ 1.28 (≥ 0.53)"
APP_0064,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$57,647, Ratio→ 3.51 (≥ 0.53)"
APP_0066,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$40,085, Ratio→ 4.47 (≥ 0.53)"
APP_0068,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$39,927, Ratio→ 2.98 (≥ 0.53)"
APP_0069,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$80,141, Ratio→ 1.86 (≥ 0.53)"
APP_0070,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$74,168, Ratio→ 2.37 (≥ 0.53)"
APP_0073,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$75,521, Ratio→ 2.04 (≥ 0.53)"
APP_0078,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$59,118, Ratio→ 3.01 (≥ 0.53)"
APP_0079,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$116,325, Ratio→ 1.02 (≥ 0.53)"
