application_id,score,decision,top_feature,shap,explanation
APP_0002,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0003,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0005,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0006,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0007,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0008,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0011,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0012,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0014,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0016,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0019,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0020,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0021,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0022,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0024,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0026,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0027,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0029,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0030,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0034,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0035,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0037,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0038,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0039,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0040,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0041,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0043,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0044,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0045,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0046,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0047,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0049,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0051,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
APP_0053,0.3333333333333333,deny,age,0.0,age decreased approval likelihood most
