application_id,score,decision,proposed_loan_option,proposed_consolidation_loan
APP_0002,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$57,463, Ratio→ 2.14 (≥ 0.27)"
APP_0005,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$44,190, Ratio→ 3.02 (≥ 0.27)"
APP_0007,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$100,272, Ratio→ 1.71 (≥ 0.27)"
APP_0008,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$37,756, Ratio→ 3.14 (≥ 0.27)"
APP_0011,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$31,635, Ratio→ 13.20 (≥ 0.27)"
APP_0012,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$65,039, Ratio→ 1.77 (≥ 0.27)"
APP_0014,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$109,543, Ratio→ 2.30 (≥ 0.27)"
APP_0016,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$75,938, Ratio→ 4.21 (≥ 0.27)"
APP_0020,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$44,574, Ratio→ 3.20 (≥ 0.27)"
APP_0021,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$113,555, Ratio→ 3.35 (≥ 0.27)"
APP_0022,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$136,863, Ratio→ 2.62 (≥ 0.27)"
APP_0024,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$56,795, Ratio→ 5.76 (≥ 0.27)"
APP_0026,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$31,360, Ratio→ 10.69 (≥ 0.27)"
APP_0029,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$115,591, Ratio→ 1.96 (≥ 0.27)"
APP_0037,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$114,025, Ratio→ 1.04 (≥ 0.27)"
APP_0038,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$14,027, Ratio→ 17.53 (≥ 0.27)"
APP_0040,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$47,141, Ratio→ 6.54 (≥ 0.27)"
APP_0041,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$48,631, Ratio→ 3.77 (≥ 0.27)"
APP_0044,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$83,736, Ratio→ 2.07 (≥ 0.27)"
APP_0045,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$123,424, Ratio→ 3.36 (≥ 0.27)"
APP_0046,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$108,749, Ratio→ 3.69 (≥ 0.27)"
APP_0047,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$108,684, Ratio→ 2.30 (≥ 0.27)"
APP_0049,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$47,093, Ratio→ 6.04 (≥ 0.27)"
APP_0051,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$68,086, Ratio→ 1.83 (≥ 0.27)"
APP_0053,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$68,629, Ratio→ 5.42 (≥ 0.27)"
APP_0054,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$130,693, Ratio→ 0.84 (≥ 0.27)"
APP_0062,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$121,000, Ratio→ 2.35 (≥ 0.27)"
APP_0063,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$53,333, Ratio→ 2.55 (≥ 0.27)"
APP_0064,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$57,647, Ratio→ 7.02 (≥ 0.27)"
APP_0066,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$40,085, Ratio→ 8.95 (≥ 0.27)"
APP_0068,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$39,927, Ratio→ 5.97 (≥ 0.27)"
APP_0069,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$80,141, Ratio→ 3.72 (≥ 0.27)"
APP_0070,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$74,168, Ratio→ 4.74 (≥ 0.27)"
APP_0073,0.3333333333333333,deny,,"Consolidation: 60 months @ 7.5% APR, covers existing+requested=$75,521, Ratio→ 4.08 (≥ 0.27)"
