application_id,annual_income,dti,credit_history_months,delinquencies_12m,age,income,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months
a001,9171.297940346481,0.06413258272645044,64,0,1.6731748836645879,1.3900666864107063,-0.29255749650864277,-1.4990257519349324,-0.5495300830655938,0.21171209589352621,2.2852729406698655,0.6968046469812916,1.5234515234669157
a002,18023.293748119264,0.33192092580913124,82,0,-0.11247134430513143,1.5681948337607823,-1.49552541225145,0.5730331509834805,-1.2624463931697814,-0.7278695450991378,-0.040499279776860346,2.043992882059012,-0.893475424965016
a003,7069.375553463135,0.1925521046717553,24,0,-0.039121839829796216,0.2016255815665348,1.1500370115803231,0.9424407012889201,-0.10080590138441653,-0.18416634266056778,-0.7026109825560494,0.9624680220499235,0.7591250559690613
a004,6145.959349556884,0.33729955663337413,44,0,1.2878166367411557,0.8337503308767213,1.2814599816047796,0.1346073876824905,-0.36392301388990866,0.68618464953709,-0.8515021545507381,-1.0523286173590747,-0.22889531163592672
a005,11365.963581130325,0.3389004974802001,42,0,-0.8527255335046193,-0.28517833140950505,0.44588402320498927,-0.13168226858054952,0.1034521493257416,1.2827487781404403,0.2624521998242707,-1.1787669486111185,1.6831421147831933
a006,9769.725869942686,0.6400824466497584,39,0,0.87427266068395,-3.8712786237584034,-0.29397109654342307,-0.15056251328339848,0.52594975875374,0.04661321475496107,-0.5583789524347657,-0.1855764406449509,-0.6328914013278879
a007,12350.537128758486,0.04862818875469102,91,0,0.23423880277172132,-1.136161654866885,1.2995951602326008,0.326437181300578,-0.08278488516662813,1.2874432360491717,0.12543031773545668,0.34936969757097236,0.19237500653186757
a008,17931.27459286407,0.4616724633683162,31,0,0.871089711961752,0.7317184764873284,0.7507811621021282,-0.09774224202312753,-0.7900878285432964,-0.39429517308849343,-0.16077631550341626,0.47189959831130124,-1.783606786278497
a009,10340.393552809528,0.321731707122153,22,0,-0.036323192392838405,0.1903596485761768,-0.0474699437999777,2.414137578287672,-0.4781942664228766,-0.5650068015940318,-1.875534006460009,-0.26904287501834234,-0.40630094620099794
a010,4581.249403077847,0.3324977230144318,83,0,0.5584927364676985,-0.2108797383939675,1.1766217061455844,-0.7575487670984321,-1.019471938146281,0.8473536875897437,-0.8620656669216578,-0.2747346137931454,1.1764946392035296
a011,2322.3521766597023,0.15076469889400934,77,0,1.291843966605149,0.4817379025929717,-0.678647923798996,0.9008471242144485,0.37017509085889705,-0.07550047504146064,-0.169095558823942,0.6227771205966767,1.3348787587544328
a012,6580.502035667702,0.4481564171425156,104,0,-0.928358701330473,-0.8537031431322012,1.7572585100597589,0.7476892688975507,-0.21510925932489827,-0.809584049528083,-1.7691549164560942,-0.5479542288344316,0.28244660882074313
a013,10027.56217840249,0.7292817026677173,38,0,-0.1539746631723829,-0.5393934498146349,-0.015622617556083972,0.08005690620375663,-0.5448912307459992,-1.940364313527794,1.700512653288073,0.3322055642332324,-2.7466806714035505
a014,17101.362301954774,0.35723759305128194,29,0,0.7342153517833699,0.48521571901479416,-0.5913318243521345,0.33420286562576634,0.5544431825069478,-0.7609163303880002,0.3695503024868699,-0.6758293362823877,-0.28094186180453
a015,3399.4853333530264,0.4471588139077519,42,0,-0.8065553540982004,1.204238899454597,-0.8222293408878611,-0.8220920219605021,1.4576671322980133,-0.16246546817496055,0.3627338802004781,0.3747749509963826,1.1204322692944142
a016,11431.718801280542,0.08260039815978429,95,0,1.5880775622564824,1.7390316288976018,-0.4730782706883246,0.5959780899761998,-0.80662448215788,0.2128155799564765,-1.6324043823982932,0.8117351601961234,2.124054796039221
a017,11279.159224801195,0.340244341260042,39,0,0.3191330287844956,-1.160029088236157,0.2346226735760606,-0.15463628097531337,1.0221705497850067,0.46535443606962346,0.935331426296109,-0.9354924299012731,-1.1599273141097606
a018,9537.416171661365,0.35490418390407713,77,0,-0.3562046351770962,-2.0496881581179562,-1.0657240279889983,-1.2436218313426284,0.18022306788621614,-0.9893172388559334,-1.2405126246234377,-0.3254564780412352,0.6874477585513963
