application_id,score,decision
APP_0009,0.00014178401315103982,approve
APP_0011,0.00014178401315103982,approve
APP_0062,6.911875603815425e-07,deny
APP_0066,0.00013376086825228563,deny
APP_0070,0.00014178401315103982,approve
APP_0072,0.9985134515841919,approve
APP_0088,9.773024488205176e-05,deny
APP_0095,9.215693435780206e-05,deny
APP_0115,0.009965434938561496,approve
APP_0125,0.9985134515841919,approve
APP_0129,0.00014178401315103982,approve
APP_0142,9.219974471597608e-05,deny
APP_0149,0.00013376086825228563,deny
APP_0151,9.987241714632186e-07,deny
APP_0165,0.009965434938561496,approve
APP_0171,0.00011281856302740198,deny
APP_0172,0.009965434938561496,approve
APP_0185,9.987241714632186e-07,deny
APP_0186,0.9990537310991723,approve
APP_0188,0.007176293311829498,approve
APP_0196,0.00013376086825228563,deny
