application_id,score,decision
APP_0001,0.23896554957813293,denied
APP_0002,0.6554652929723475,approved
APP_0003,0.5115569525604482,approved
APP_0004,0.7852155805629697,approved
APP_0005,0.22125738463115796,denied
APP_0006,0.6097749873017396,approved
APP_0007,0.5717938542549478,approved
APP_0008,0.7548906152218559,approved
APP_0009,0.12722535995946527,denied
APP_0010,0.6264474821071185,approved
APP_0011,0.20001187227121,denied
APP_0012,0.8306071233495814,approved
APP_0013,0.5039784093744714,approved
APP_0014,0.5280241554291657,approved
APP_0015,0.59130149489159,approved
APP_0016,0.2947411045931363,denied
APP_0017,0.4288866203577692,denied
APP_0018,0.4083397946828574,denied
APP_0019,0.5487455133852807,approved
APP_0020,0.6144607271064028,approved
APP_0021,0.27474056837373223,denied
APP_0022,0.5237257711940447,approved
APP_0023,0.8123295217988016,approved
APP_0024,0.5343875779449175,approved
APP_0025,0.8193008891636651,approved
APP_0026,0.6007476815061821,approved
APP_0027,0.4334973349516765,denied
APP_0028,0.6793554719582433,approved
APP_0029,0.6080233602027504,approved
APP_0030,0.5864370742785472,approved
APP_0031,0.4489943597797527,denied
APP_0032,0.7736864855080997,approved
APP_0033,0.5626021777573261,approved
APP_0034,0.3879758822932375,denied
APP_0035,0.39562568799793796,denied
APP_0036,0.4450511374562207,denied
APP_0037,0.8437822195877358,approved
APP_0038,0.44991877999102625,denied
APP_0039,0.19951364050420584,denied
APP_0040,0.5004730675011279,approved
APP_0041,0.3609086264308689,denied
APP_0042,0.25774047436541403,denied
APP_0043,0.21663811810720685,denied
APP_0044,0.7167995517718391,approved
APP_0045,0.5671214896607841,approved
APP_0046,0.26013262457174746,denied
APP_0047,0.5043499891740255,approved
APP_0048,0.4754164365989903,approved
APP_0049,0.5063580144312065,approved
APP_0050,0.11687785499096692,denied
APP_0051,0.380957900943556,denied
APP_0052,0.43478458087430494,denied
APP_0053,0.6372450834202329,approved
APP_0054,0.2829352333375204,denied
APP_0055,0.42735410284048586,denied
APP_0056,0.6414680527067579,approved
