application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,current_loans,customer_type,DTI,LTV,CCR,ITI,CWI,currency_code,session_flagged,created_at,employment_years,debt_to_income,requested_amount,loan_term_months,score,decision,rule_reasons,top_feature,proposed_loan_option,proposed_consolidation_loan
APP_00001,56,91216.0,26,71444.0,60,19740.0,car,0,820,30959.0,45303.0,4,bank,0.339403174881596,3.619250253292623,0.2763003191310638,0.0130539963746872,0.0,USD,False,:28:01,26,0.339403174881596,71444.0,60,0.9438469740656186,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00002,53,57543.0,1,14483.0,60,130964.0,deposit,1,423,41461.0,291694.0,2,bank,0.7205220443841872,0.1105876424055457,9.042601670923908,0.0041948340081209,0.7457134421998148,USD,False,:28:01,1,0.7205220443841872,14483.0,60,0.0005075684963979122,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 497532.0, ""note"": ""Reduce obligations to improve NDI.""}"
APP_00003,45,53627.0,11,76549.0,72,67606.0,real_estate,0,319,32009.0,158440.0,4,bank,0.5968821675648349,1.1322811584770414,0.8831728696651702,0.0198254714144138,0.0,USD,False,:28:01,11,0.5968821675648349,76549.0,72,0.001045568445764711,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}",score,,"{""type"": ""consolidation"", ""buyback_amount"": 384108.0, ""note"": ""Reduce obligations to improve NDI.""}"
APP_00004,60,65311.0,13,15203.0,72,46694.0,car,0,698,29704.0,170373.0,2,bank,0.4548085314877975,0.3255878699618725,3.0713674932577075,0.0032330354423426,1.1030512186737875,USD,False,:28:01,13,0.4548085314877975,15203.0,72,0.0170019946751846,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00005,26,99682.0,23,9831.0,60,11322.0,deposit,2,592,23367.0,129963.0,1,non-bank,0.2344154411027042,0.8683094859564681,1.1516631064997302,0.001643727051998,0.1161109324907351,USD,False,:28:01,23,0.2344154411027042,9831.0,60,0.8163297882062482,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00006,61,55310.0,3,15956.0,36,178507.0,deposit,0,760,12242.0,88566.0,0,bank,0.2213342975953675,0.0893858504148291,11.187452995737578,0.0080134193131423,2.1271920192190024,USD,False,:28:01,3,0.2213342975953675,15956.0,36,0.008252136418786542,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00007,58,139271.0,13,48684.0,48,168741.0,car,1,359,14038.0,285037.0,3,bank,0.1007962892490173,0.2885131651465839,3.4660463396597763,0.0072825642091954,1.9193148061519896,USD,False,:28:01,13,0.1007962892490173,48684.0,48,0.9998382106202701,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00008,43,84982.0,4,63859.0,36,163856.0,land,1,344,37283.0,151802.0,3,bank,0.4387164340683858,0.3897263450834856,2.5659030050579785,0.0208733744917961,0.8789156225819849,USD,False,:28:01,4,0.4387164340683858,63859.0,36,0.22469725648202027,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00009,53,132909.0,23,43695.0,48,19162.0,real_estate,0,611,3490.0,205683.0,4,non-bank,0.0262585678923171,2.2802943325330194,0.4385398787046473,0.0068491411415406,0.0,USD,False,:28:01,23,0.0262585678923171,43695.0,48,0.9998669116312506,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00010,43,110407.0,18,16587.0,60,75116.0,real_estate,0,785,4224.0,20819.0,3,bank,0.0382584437580947,0.2208184674370277,4.52860674021797,0.0025039173240409,2.2481137791661974,USD,False,:28:01,18,0.0382584437580947,16587.0,60,0.9947132660358323,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
APP_00011,32,66669.0,14,23921.0,36,194499.0,car,0,523,19833.0,90019.0,0,bank,0.2974845880394141,0.1229877788574742,8.130889176873536,0.0099667344973489,1.8483438054912296,USD,False,:28:01,14,0.2974845880394141,23921.0,36,0.021824825135370894,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",score,"{""type"": ""ndi_approved"", ""note"": ""NDI thresholds satisfied.""}",
