application_id,score,decision
APP_0001,0.4,deny
APP_0002,0.4,deny
APP_0003,0.4,deny
APP_0004,0.4,deny
APP_0005,0.4,deny
APP_0006,0.4,deny
APP_0007,0.4,deny
APP_0008,0.4,deny
APP_0009,0.4,deny
APP_0010,0.4,deny
APP_0011,0.4,deny
APP_0012,0.4,deny
APP_0013,0.4,deny
APP_0014,0.4,deny
APP_0015,0.4,deny
APP_0016,0.4,deny
APP_0017,0.4,deny
APP_0018,0.4,deny
APP_0019,0.4,deny
APP_0020,0.4,deny
APP_0021,0.4,deny
APP_0022,0.4,deny
APP_0023,0.4,deny
APP_0024,0.4,deny
APP_0025,0.4,deny
APP_0026,0.4,deny
APP_0027,0.4,deny
APP_0028,0.4,deny
APP_0029,0.4,deny
APP_0030,0.4,deny
APP_0031,0.4,deny
APP_0032,0.4,deny
APP_0033,0.4,deny
APP_0034,0.4,deny
APP_0035,0.4,deny
APP_0036,0.4,deny
APP_0037,0.4,deny
APP_0038,0.4,deny
APP_0039,0.4,deny
APP_0040,0.4,deny
APP_0041,0.4,deny
APP_0042,0.4,deny
APP_0044,0.4,deny
APP_0045,0.4,deny
APP_0047,0.4,deny
APP_0048,0.4,deny
APP_0049,0.4,deny
APP_0051,0.4,deny
APP_0052,0.4,deny
APP_0053,0.4,deny
APP_0054,0.4,deny
APP_0055,0.4,deny
APP_0056,0.4,deny
APP_0057,0.4,deny
APP_0058,0.4,deny
APP_0059,0.4,deny
APP_0060,0.4,deny
APP_0061,0.4,deny
APP_0062,0.4,deny
APP_0063,0.4,deny
APP_0064,0.4,deny
APP_0065,0.4,deny
APP_0066,0.4,deny
APP_0067,0.4,deny
APP_0068,0.4,deny
APP_0069,0.4,deny
APP_0070,0.4,deny
APP_0071,0.4,deny
APP_0073,0.4,deny
APP_0074,0.4,deny
APP_0075,0.4,deny
APP_0076,0.4,deny
APP_0077,0.4,deny
APP_0078,0.4,deny
APP_0079,0.4,deny
APP_0080,0.4,deny
APP_0081,0.4,deny
APP_0082,0.4,deny
APP_0083,0.4,deny
APP_0084,0.4,deny
APP_0085,0.4,deny
APP_0086,0.4,deny
APP_0087,0.4,deny
APP_0088,0.4,deny
APP_0089,0.4,deny
APP_0090,0.4,deny
APP_0091,0.4,deny
APP_0092,0.4,deny
APP_0093,0.4,deny
APP_0094,0.4,deny
APP_0095,0.4,deny
APP_0096,0.4,deny
APP_0097,0.4,deny
APP_0098,0.4,deny
APP_0099,0.4,deny
APP_0100,0.4,deny
APP_0101,0.4,deny
APP_0102,0.4,deny
APP_0103,0.4,deny
APP_0104,0.4,deny
APP_0105,0.4,deny
APP_0106,0.4,deny
APP_0107,0.4,deny
APP_0108,0.4,deny
APP_0109,0.4,deny
APP_0110,0.4,deny
APP_0111,0.4,deny
APP_0112,0.4,deny
APP_0114,0.4,deny
APP_0115,0.4,deny
APP_0116,0.4,deny
APP_0117,0.4,deny
APP_0118,0.4,deny
APP_0119,0.4,deny
APP_0120,0.4,deny
APP_0121,0.4,deny
APP_0123,0.4,deny
APP_0124,0.4,deny
APP_0125,0.4,deny
APP_0126,0.4,deny
APP_0127,0.4,deny
APP_0129,0.4,deny
APP_0130,0.4,deny
APP_0131,0.4,deny
APP_0132,0.4,deny
APP_0133,0.4,deny
APP_0134,0.4,deny
APP_0135,0.4,deny
APP_0136,0.4,deny
APP_0137,0.4,deny
APP_0138,0.4,deny
APP_0139,0.4,deny
APP_0140,0.4,deny
APP_0141,0.4,deny
APP_0142,0.4,deny
APP_0143,0.4,deny
APP_0144,0.4,deny
APP_0145,0.4,deny
APP_0146,0.4,deny
APP_0147,0.4,deny
APP_0148,0.4,deny
APP_0149,0.4,deny
APP_0150,0.4,deny
APP_0151,0.4,deny
APP_0152,0.4,deny
APP_0153,0.4,deny
APP_0154,0.4,deny
APP_0155,0.4,deny
APP_0156,0.4,deny
APP_0157,0.4,deny
APP_0158,0.4,deny
APP_0160,0.4,deny
APP_0161,0.4,deny
APP_0162,0.4,deny
APP_0163,0.4,deny
APP_0164,0.4,deny
APP_0166,0.4,deny
APP_0167,0.4,deny
APP_0168,0.4,deny
APP_0170,0.4,deny
APP_0171,0.4,deny
APP_0172,0.4,deny
APP_0173,0.4,deny
APP_0174,0.4,deny
APP_0175,0.4,deny
APP_0177,0.4,deny
APP_0178,0.4,deny
APP_0179,0.4,deny
APP_0180,0.4,deny
APP_0182,0.4,deny
APP_0183,0.4,deny
APP_0184,0.4,deny
APP_0186,0.4,deny
APP_0187,0.4,deny
APP_0188,0.4,deny
APP_0189,0.4,deny
APP_0190,0.4,deny
APP_0191,0.4,deny
APP_0192,0.4,deny
APP_0193,0.4,deny
APP_0194,0.4,deny
APP_0195,0.4,deny
APP_0196,0.4,deny
APP_0197,0.4,deny
APP_0198,0.4,deny
APP_0199,0.4,deny
APP_0200,0.4,deny
