application_id,ai_decision,rule_reasons,customer_type,human_decision,human_rule_reasons
APP_00001,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00002,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}"
APP_00003,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}"
APP_00004,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00005,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00006,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00007,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00008,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00009,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00010,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00011,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00012,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": false}"
APP_00013,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00014,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00015,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00016,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00017,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00018,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00019,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00020,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00021,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00022,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00023,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": false, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00024,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}"
APP_00025,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_00026,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}",non-bank,denied,"{""model_threshold"": false, ""ndi_value"": false, ""ndi_ratio"": false}"
