application_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,DTI,LTV,CCR,ITI,CWI,session_flagged,created_at,employment_years,debt_to_income,credit_history_length,num_delinquencies,current_loans,requested_amount,loan_term_months,income_to_compounded_debt_ratio
APP_0002,63,42987.0,15,15505,48,146373,deposit,0,383,41958.0,216054,0.976062530532464,0.1059280058480723,9.440374072879107,0.0075143841935142,0.0642054631853725,False,:58:17,15,0.009760625305324639,6,0,0,15505.0,48,1.1979867735705507
APP_0005,32,46784.0,25,9196,24,127686,house,0,573,34994.0,163849,0.7479907660738555,0.0720204251053359,13.884949978249905,0.0081901219786827,0.7015782653049405,False,:58:17,25,0.007479907660738555,6,0,0,9196.0,24,1.6497567539738178
APP_0007,55,59912.0,23,70027,24,96461,car,2,384,30245.0,279977,0.5048237414875066,0.7259617876654738,1.3774829708540794,0.0487012896672627,0.1869206051597159,False,:58:17,23,0.005048237414875066,19,0,1,70027.0,24,1.1844332979326586
APP_0008,40,41477.0,11,31971,24,174425,deposit,0,807,5785.0,184451,0.1394748896979015,0.1832936792317604,5.455725501235324,0.0321171974816033,2.1083888902905312,False,:58:17,11,0.001394748896979015,20,0,0,31971.0,24,2.373189939876366
APP_0011,24,146163.0,7,9105,36,105366,land,0,527,22530.0,189562,0.1541429773608905,0.0864130744262847,11.572322899504494,0.0017303740800314,2.318291750363401,False,:58:17,7,0.001541429773608905,25,0,2,9105.0,36,7.459160708544483
APP_0012,25,40229.0,7,15109,36,148623,car,0,699,49930.0,85453,1.241144448034969,0.1016599045908096,9.836719835858773,0.0104326342795688,0.0,False,:58:17,7,0.01241144448034969,9,0,0,15109.0,36,0.974143746800598
APP_0014,60,88291.0,4,99914,12,92497,car,1,553,9629.0,131410,0.1090598135710309,1.0801863844232669,0.9257661588966418,0.0943036851544633,0.0,False,:58:17,4,0.001090598135710309,17,1,1,99914.0,12,1.8128012831752842
APP_0016,41,111782.0,14,68240,12,114195,deposit,0,662,7698.0,229793,0.0688661859691178,0.597574324620162,1.6734320046893072,0.0508728298491056,0.6270553110168393,False,:58:17,14,0.000688661859691178,5,1,0,68240.0,12,3.2829359695031335
APP_0020,34,49971.0,6,13591,12,194204,deposit,0,560,30983.0,172754,0.620019611374585,0.0699831105435517,14.289161945403997,0.0226648122558869,1.0601645372515829,False,:58:17,6,0.006200196113745849,28,0,3,13591.0,12,1.824004099820706
APP_0021,56,133039.0,10,69669,12,28592,land,0,637,43886.0,55749,0.3298731950781325,2.436660604364772,0.4103977378748021,0.0436394591023394,0.0,False,:58:17,10,0.0032987319507813253,21,0,2,69669.0,12,2.2180123832175362
APP_0022,46,125515.0,11,90218,24,197038,deposit,1,822,46645.0,121757,0.3716288889774101,0.457871070554916,2.1840209270876967,0.0299492756497364,0.744004545428103,False,:58:17,11,0.003716288889774101,7,0,0,90218.0,24,1.7792678684480094
APP_0024,28,114425.0,10,7754,36,63339,deposit,0,488,49041.0,88502,0.4285864103124279,0.1224206255229776,8.168558163527447,0.0018823586531169,1.5043823418170683,False,:58:17,10,0.0042858641031242786,28,0,3,7754.0,36,3.044401839225784
APP_0026,58,117373.0,9,27878,24,148880,house,1,397,3482.0,161356,0.0296661071967144,0.1872514777001599,5.340411794246167,0.0098965122582273,2.3659123125399653,False,:58:17,9,0.000296661071967144,20,0,2,27878.0,24,8.297163329129603
APP_0029,42,79229.0,5,86162,12,130305,car,0,842,29429.0,140633,0.371442274924581,0.6612332604274536,1.5123256191824526,0.0906254864515294,0.32202622569119,False,:58:17,5,0.0037144227492458097,7,0,0,86162.0,12,1.395163162015301
APP_0037,25,41527.0,25,91396,36,192944,deposit,0,710,22629.0,12738,0.5449225804897887,0.473691848411972,2.1110770712065943,0.0611355931732895,0.5056260864416674,False,:58:17,25,0.005449225804897887,3,0,1,91396.0,36,0.765804691496538
APP_0038,49,86073.0,14,8435,36,102022,car,0,712,5592.0,71560,0.0649681084660687,0.0826782458685373,12.095080023709295,0.0027221725227312,2.5731752847322964,False,:58:17,14,0.0006496810846606869,22,0,2,8435.0,36,11.542422657601481
APP_0040,24,107858.0,9,5515,12,197223,house,0,845,41626.0,269408,0.3859333568210018,0.0279632700040054,35.761196736167584,0.0042610036649579,1.7906859955059915,False,:58:17,9,0.0038593335682100185,6,0,0,5515.0,12,3.429016515919821
APP_0041,54,64217.0,13,19850,24,173087,deposit,0,549,28781.0,234326,0.4481835028107752,0.1146822118356658,8.719748110830794,0.0128795075026684,1.4655988822924648,False,:58:17,13,0.004481835028107752,21,1,2,19850.0,24,2.2545174959713803
